rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,infos,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,url_immoscout
3 Zimmer,67 m²,CHF 1690.—,CHF 1510.—,3014,Weingartstrasse 9,Bern,1937,"Wir vermieten eine geschmackvoll sanierte Wohnung im Breitsch:Ab 1. September 2022 Wohnung im 4OG rechts3-Zimmerwohnungabgeschlossene Küche, grau mit schwarzem Stein, Geschirrspüler, weisse Glasabdeckung und Backofen auf Höhe, ohne Bücken.schwarze Plattenböden (Küche, Gang und Bad)neues Bad mit Mosaik und weissen modernen Plattenversiegelte Fischgrat-ParkettbödenBalkonca. 5 Minuten zu Fuss bis zum Breitenrainplatz mit vielen GeschäftenFlexibles Waschen mit je zwei Wäschetrockner und Waschmaschinen in der Waschküche im Keller.",True,True,False,False,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/6727494
"2,5 Zimmer",59 m²,CHF 1318.—,CHF 1189.—,2558,Kochermatte 6,Aegerten,2019,"Füreinander und Miteinander - Kochermatte in AegertenDie Idee für eine gelebte Gemeinschaft für mehr Gemeinsamkeit und weniger Einsamkeit wurde von der Schwester, der Wohnbaugenossenschaft in Bonaduz, welche bereits seit einigen Jahren operativ ist, übernommen und für Aegerten konzeptionell weiterentwickelt. Durch einen Studienauftrag wurde die bestmögliche Lösung gesucht und das gewählte Projekt der :mlzd aus Biel anfang 2019 vollendet und fast alle der modernen Wohnungen bereits bezogen. Das gemeinschaftliche Leben füreinander und miteinander hat begonnen.Das Projekt an zentraler und ruhiger Lage bietet insgesamt 32 Wohnungen, mit 1 ½ - 4 ½ Zimmer. Mit Ausnahme der kleinsten Wohneinheiten, bieten fast alle Wohnungen zwei gedeckte und windgeschützte Loggias zum Verweilen (ausgerichtet nach Osten und Westen). Zudem wird viel Raum für die Gemeinschaft angeboten, wie hier aufgelistet:Grosser Treffpunkt mit Gemeinschaftsküche für Mittagstische, Spielnachmittage oder FeiernBibliothek mit CheminéeFitnessraum und eine Oase mit Sauna zum ErholenAusgebaute Werkstatt und Bastelraum(Nutzungsvereinbarung, 49.- pro Monat inkludiert)Für eine hohe Nachhaltigkeit und tiefe Nebenkosten sorgen der GEAK-A/A Gebäudestandard, die CO2 neutrale Pelletsheizung und die eigene PV-Anlage mit Ladestationen für Elektrofahrzeuge.Derzeit sind nur noch wenige Wohnungen frei. Werden Sie Mitglied unserer Genossenschaft.Weitere Informationen zum Projekt Kochermatte finden Sie hier:inbuonacompagnia-aegerten.chinbuonacompagnia-aegerten.ch/news/360_Grad_RundgangÜber einen Besuch Ihrerseits würden wir uns sehr freuen!Sie haben Fragen oder wünschen weitere Informationen - rufen Sie uns einfach an, wir stehen Ihnen sehr gerne zur Verfügung.",True,True,True,True,True,True,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-aegerten/7077654
"2,5 Zimmer",55 m²,CHF 995.—,CHF 805.—,3294,Bernstrasse 16,Büren an der Aare,2017,"Die im  Jahr 2017 renovierte, helle 2.5 Zimmer Wohnung im 1. Stock des 4-Familienhauses mit 55m2 bietet eine schöne Weitsicht auf die Jura-Kette.Die Wohnung hat eine schöne Küche mit Essbereich, ein Bad mit Dusche, zwei separate Zimmer für Wohnen und Schlafen.Die Wohnung befindet sich mit 500m in Fussdistanz zum Bahnhof und unweit vom historischen Zentrum Büren an der Aare . Via Bahn ist Biel in 19 Minuten, Solothurn in 30 Minuten und Bern in 40 Minuten erreichbar.Im Untergeschoss der Liegenschaft steht für das Haus eine zentrale Waschmaschine mit Tumbler und ein abgeschlossenes Kellerabteil pro Wohnung zur Verfügung.Direkt neben der Liegenschaft befinden sich mit dem Coop Zentrum Einkaufsmöglichkeiten.Bei Bedarf ist ein Auto-Parkplatz direkt vor dem Haus für 50.-/Monat zu mieten.Renovated in 2017, bright 2.5 room apartment on the 1st floor of the 4-family house with 55m2 offers a beautiful far view of the Jura chain.The apartment has a nice kitchen with dining area, a bathroom with shower, two separate rooms for living and sleeping.The apartment is located at 500m walking distance from the train station and not far from the historic center of Büren an der Aare . By train Biel can be reached in 19 minutes, Solothurn in 30 minutes and Bern in 40 minutes.In the basement of the property is available for the house a central washing machine with tumble dryer and a locked basement compartment per apartment.Directly next to the property are shopping facilities with the Coop center.If needed, a car parking space can be rented directly in front of the house for 50.-/month.",True,False,False,False,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-bueren-an-der-aare/7053394
"3,5 Zimmer",78 m²,CHF 1290.—,CHF 1110.—,2542,Kürzeweg 8A,Pieterlen,2022,"Die Wohnung wurde neu renoviert,  Bad,  Küche, Fenster, Storen und Parkett (Landhausdiele). Es ist eine helle Wohnung mit grossem Wohnbereich und Balkon nach Süden ausgerichtet. Zentrumsnahe Lage, aber trotzdem ruhig gelegen. Schöne Aussenanlage mit einem Pavillon und grosser Grünfläche.PP kann dazu gemietet werden Fr. 40.00 pro Monat",True,False,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-pieterlen/5580874
"3,5 Zimmer",No information,CHF 1470.—,CHF 1170.—,3027,Untermattweg 66,Bern,No information,Wir vermieten per 01. Juli 2022 am ruhigen Untermattweg 66 eine gemütliche3.5 - Zimmerwohnung im ErdgeschossParkett- und LaminatbodenbelagWandschränke im KorridorBadewanneGaskochherdBalkonKellerabteilÖV direkt vor der TürBei Interesse freuen wir uns auf Ihren Anruf oder Kontaktaufnahme per E-Mail.,True,True,False,False,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7037455
3 Zimmer,No information,CHF 1590.—,CHF 1390.—,3063,Bahnstrasse 5,Ittigen,No information,"Profitieren Sie jetzt von unserem tollen Willkommensangebot:Bei Abschluss eines Mietvertrages mit einer Mindestvertragsdauer von zwölf Monaten schenken wir Ihnen den Netto-Mietzins für den ersten Monat.Nach Vereinbarung vermieten wir an der Bahnstrasse 5 in Ittigen eine helle 3-Zimmerwohnung. Diese besticht durch die folgenden Vorzüge:Platten- und Parkettbodenbelägeabgeschlossene Küche mit GeschirrspülmaschineBadezimmer mit Badewanneseparates WCBalkon zum VerweilenReduitKellerabteilEin Einstellhallenplatz für monatlich CHF 120.00 kann dazu gemietet werden.Die Liegenschaft befindet sich unmittelbar beim Bahnhof Ittigen. Das Talgutzentrum, in welchem Sie viele Einkaufsmöglichkeiten finden, ist vis-à-vis der Liegenschaft. Die Autobahneinfahrt A6 erreichen Sie in wenigen Fahrminuten.Haben wir Ihr Interesse geweckt? Dann freuen wir uns auf Ihre Kontaktaufnahme.Bewerben Sie sich nach der Besichtigung online unter www.immobilien.vfischer.ch/online-service/wohnungsbewerbung/",True,False,True,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-ittigen/6480771
"3,5 Zimmer",No information,CHF 1540.—,No information,3172,Freiburgstrasse 539,Niederwangen b. Bern,No information,Neue Küche inkl. Geschirrspühler. Helle 3 1/2 Zimmer Wohnung mit grossem Balkon. Grosser Einbauschrank. In 7 Minuten in Bern. Es hat gute Zug und Bus Verbindungen. Kellerabteil. Parkplatz oder Einstellhalle kann dazu gemietet werden.,True,True,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-niederwangen-b-bern/7090299
"3,5 Zimmer",87 m²,CHF 1660.—,CHF 1450.—,2556,Schwalbenweg 6,Schwadernau,2022,"Schöne 3.5 Zimmerwohnung mit Balkon (Abendsonne) in ruhiger Lage.Wohnzimmer mit offener neuer Küche. Küche mit Ablage in Stein und GS. Neues Bad mit Badewanne und Dusche. Eigener Waschturm. Bodenheizung mit Platten und Holzböden. Zu der Wohnung gehören ein Estrich, Keller und ein Bastelraum.Einstellhallenplätze oder Aussenparkplatz können dazugemietet werden.",True,True,True,True,False,False,False,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-schwadernau/7019635
"1,5 Zimmer",33 m²,CHF 1470.—,CHF 1350.—,3011,Brunngasse 30,Bern,No information,"Per 01.05.2022 vermieten wir dieses luxuriöse Stadt-Apartment mit folgenden Eigenschaften:Parkettbodenbeläge aus EicheStufenlose Nasszellen mit modernem PlattenbodenModerne Küche mit Glaskeramikkochfeld, Dampfabzug und GeschirrspülerWaschtrockner-Kombigerätkleines Estrichabteil*Die Fotos sind von einer vergleichbaren Wohnung *Haben wir Ihr Interesse geweckt? So zögern Sie nicht und sichern Sie sich noch heute Ihren Besichtigungstermin.Wir freuen uns auf Sie!",False,False,True,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7004418
"2,5 Zimmer",54 m²,CHF 1240.—,CHF 1060.—,4704,Schlüsselmattweg 3,Niederbipp,2021,ErstbezugWir vermieten ab sofort eine Neubau 2.5 Zimmer Wohnung mit 54m2 im Zentrum von Niederbipp. (Direkt am Bahnhof)Der Anschluss an die öffentlichen Verkehrsmittel ist somit bestens gewährleistet.Die Autobahnzufahrt ist in wenigen Minuten erreichbar.Einen Einstellhallenplatz können Sie gerne dazu mieten.Werden Sie ein Teil der aufstrebenden Gemeinde Niederbipp und überzeugen Sie sich vor Ort von dieser grosszüzigen Wohnung.,True,True,True,True,False,True,True,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-niederbipp/6663193
"3,5 Zimmer",80 m²,CHF 1820.—,CHF 1600.—,4536,Blumenweg 11,Attiswil,2022,"Sehen Sie sich die Grundrisse der attraktiven 3,5- und 4,5-Zimmer- Wohnungen, den Mietpreis sowie alle Merkmale dieser Überbauung an und finden Sie das Richtige für Ihre Bedürfnisse. In der Homepage ersichtlich.Die Wohnungen bieten auf dem Sitzplatz/Balkon Richtung Süden Blick auf die Alpen. Von der Tiefgarage gelangen Sie mit dem Fahrstuhl direkt auf Ihre Etage.Der Innenausbau der Neubauwohnungen ist hochwertig und bietet viele Annehmlichkeiten wie helle, freundliche und einladende Räume, moderne offene Küchen, bodenbündige Duschen, Parkettböden sowie grosszügige, gut besonnte Aussenbereiche. Im Eingangsbereich sind Einbauschränke vorgesehen, die Ihre Garderobe optimal organisieren.Das Gebäude verfügt über eine Photovoltaikanlage. Die Mieter können vom produzierten Solarstrom profitieren.Einstellhallenplätze vorhanden.",True,True,True,False,True,True,True,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-attiswil/6941732
"3,5 Zimmer",86 m²,CHF 1860.—,CHF 1600.—,3510,Thunstrasse 19a,Konolfingen,2021,"Im Konohof an der Thunstrasse 19 und Thunstrasse 19a entstehen 34 hochwertige, einzigartige Mietwohnungen auf zwei Geschossen. Der Wohnungsmix beinhaltet 2.5- und 3.5-Zimmer-Wohnungen sowie eine 4.5-Zimmer-Wohnung, welche alle über einen eigenen Waschturm verfügen. Das Sortiment des darunterliegenden Einkaufszentrums ist zum Greifen nah «komärlä» war noch nie so «gäbig». Doch nicht nur das, ob Rückzug mit Schlummertrunk auf der privaten Loggia oder Apèro mit den neuen Bewohnerinnen und Bewohner im gemeinsamen Innenhof, der Konohof bietet Ihnen so einiges an Wohnqualität.Die 2.5- , 3.5 und 4.5-Zimmer-Wohnungen bieten nebst dem Wohnen an zentraler Lage, einen eigenen Waschturm, einen grosszügigen Balkon und Vieles mehr:Eingangsbereich mit integrierter GarderobeOffene Koch-, Wohn- und EssräumeLicht durchflutete ZimmerModerner ParkettbodenZeitgemässe Bad- und KücheneinrichtungenKellerabteilDie neuen Wohnungen sind bereits per 1. Februar 2022 bezugsbereit Für ein erstes Raumgefühl empfehlen wir eine Besichtigung vor Ort. Ergreifen Sie die Gelegenheit und kontaktieren Sie uns für einen Besichtigungstermin Wir freuen uns darauf!",True,True,True,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-konolfingen/6645248
"1,5 Zimmer",39 m²,CHF 1590.—,CHF 1460.—,3011,Brunngasse 30,Bern,No information,"Per 01.06.2022 oder nach Vereinbarung vermieten wir dieses luxuriöse Stadt-Apartment mit folgenden Eigenschaften:Parkettbodenbeläge im WohnraumStufenlose Nasszellen mit modernem PlattenbodenModerne Küche mit Glaskeramikkochfeld, Mikrowellenkombigerät, Dampfabzug und GeschirrspülerWaschtrockner-Kombigerät*Die Fotos sind von einer vergleichbaren Wohnung *Haben wir Ihr Interesse geweckt? So zögern Sie nicht und sichern Sie sich noch heute Ihren Besichtigungstermin.Wir freuen uns auf Sie!",False,False,True,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7057301
"4,5 Zimmer",142 m²,CHF 3690.—,CHF 3290.—,3095,Nussbaumweg 55,Spiegel b. Bern,2022,"Sie wünschen sich eine moderne Wohnung mit Aussicht auf die Stadt Bern an ruhiger Lage am Fusse des Gurtens? Dann könnte dies Ihr neues Zuhause werden!Die drei neu erstellten 4.5-Zimmerwohnungen (EG / 1.OG / 2.OG) sind ab sofort bezugsbereit und bieten Ihnen einen modernen Ausbau, der gehobenen Ansprüchen gerecht wird:im Eingangsbereich sorgen grosse Wandschränke für viel Stauraumdie offene Küche lässt keine Wünsche offenin der ganzen Wohnung ist ein pflegeleichter Keramikplattenboden verlegtim grossen, lichtdurchfluteten Wohnzimmer sorgen ein Schwedenofen sowie eingebaute Deckenspots für eine behagliche Atmosphäredie nach Nordwest ausgerichtete grosszügige Terrasse (EG / ca. 100 m2) resp. grosszügigen Balkone (1. OG und 2. OG je ca. 30 m2) laden zum Verweilen und Entspannen eindrei abschliessbare Zimmerim Badezimmer sowie in der schlafzimmereigenen Dusche wie auch in der separaten Gästetoilette findet sich je ein Dusch-WCein Réduit mit einem Wasch-/Trockenautomat erspart den jeweils mühsamen Gang in den Kellerim UG steht eine zusätzliche Dusche/Toilette allen Bewohnern zur Verfügungmit dem Lift erreichen Sie bequem die Wohnung sowie den Kellerbereich/Einstellhallejede Wohnung verfügt über einen grosszügigen KellerraumEinstellhallenplätze/Aussenparkplätze können - solange verfügbar - dazugemietet werden (EHP Fr. 160.00 / AAP Fr. 80.00)EG Mietzins netto Fr. 3'490.00 + HK/NK akonto Fr. 400.001. OG Mietzins netto Fr. 3'290.00 + HK/NK akonto Fr. 400.002. OG Mietzins netto Fr. 3'490.00 + HK/NK akonto Fr. 400.00Haben wir Ihr Interesse geweckt? Dann freuen wir uns über Ihren Anruf und stehen Ihnen gerne für einen unverbindlichen Besichtigungstermin zur Verfügung.",True,False,True,True,False,True,True,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-spiegel-b-bern/7025216
4 Zimmer,70 m²,CHF 1180.—,CHF 980.—,3422,Burgdorfstrasse 13,Alchenflüh,2014,"Unschlagbars Priis-Leischtigs-VerhäutnisDie Wohnung ist im Jahr 2014 von Grund auf saniert worden. Auf folgendes dürfen Sie sich freuen:Küche mit viel Stauraum und GeschirrspülerBadezimmer mit begehbare DuscheParkettboden in den Zimmern, Platten im Badezimmer und Vinylboden in der Küchegrosszügiger Balkon mit Sicht ins GrüneDas Angebot wird von einem eigenen Keller- und Estrichabteil abgerundet.Mitts im ZäntrumDer Bahnhof Kirchberg-Alchenflüh ist nur einen Steinwurf entfernt. Auch Einkaufsmöglichkeiten sind innert kürzester Zeit zu erreichen.Keni ÜberraschigeDank der Photovoltaikanlage können die Heiz- und Nebenkosten tief gehalten werden.Für's OutoEs können mehrere Aussen-Parkplätze à CHF 40.00 pro Monat dazu gemietet werden.Gwunger gweckt?Gerne vereinbaren wir eine Besichtigung mit Ihnen. Wir freuen uns auf die Kontaktaufnahme.",True,False,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-alchenflueh/7087570
"3,5 Zimmer",No information,CHF 1990.—,CHF 1770.—,3072,Dr. Zuber-Strasse 4C,Ostermundigen,No information,No information,False,False,False,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-ostermundigen/7087866
"7,5 Zimmer",152 m²,CHF 2580.—,No information,2533,Chemin de la Fontaine 4,Evilard,2021,"Deutscher Text untenA Evilard, maison familiale de 7.5 pièces (dont 3 chambres à coucher et un local de travail indépendant). Surface nette : 174m2, sur 2 niveaux. Au calme dans quartier résidentiel. Espace pour véhicule, sans garage. Jardin privatif de 440m2.Loyer mensuel : 2'580.- frs + charges (2'400.- frs si entretien de base du jardin par locataire). Disponible de suite.Maison en L à toit plat des années 50 : un bijou vintage, avec de nombreux objets originaux, conçue par un architecte biennoisMaison individuelle de 7.5 pièces à vivre au Chemin de la Fontaine 4 à Evilard. Construction sur deux niveaux, surface nette de 174m2 (rez: 119m2 / étage inférieur: 55m2) + balcon (1.3m2) et local citerne (8.3m2). Espace pour véhicule, sans garage. Jardin privatif et sauvage au gré du preneur de 442m2.Situation tranquille à l'écart de la circulation et à 200m de la forêt. Sur les hauteurs de Bienne, en orientation sud, l'ensoleillement est optimal. Depuis le quartier, la vue sur le plateau et les alpes est exceptionnelle. Située à la périphérie d'Evilard (env. 3'000 habitants), cette maison est à 800m du centre du village, du funiculaire vers Bienne et de l'école primaire (germanophone et francophone). Evilard dispose d'un des régimes fiscaux les plus avantageux de la région.Maison d'architecte, ce projet pionnier par ses lignes claires a conservé un aspect très moderne. Témoin bien conservé du style des années '50 (briques apparentes, armoires encastrées, magnifique sol dallé en terrazzo, vastes surfaces vitrées, plots de verre, etc). Conception soignée et utilisation optimale de l'espace. Première maison à toit plat d'Evilard. Plan en L, avec façades vitrées à l'est, au sud et à l'ouest.Rez-de-chaussée : 1 espace unitaire entrée – salle à manger – séjour (terrazzo avec chauffage au sol), avec grandes baies vitrées et éclairage zénithal, cuisine ouverte avec accès extérieur, 1 chambres d'enfant, 1 chambre de réception (ou bureau) et 1 chambre parentale largement vitrées, 1 salle de bain/WC et 1 petit balcon. Espace de travail avec accès extérieur.Etage inférieur : 1 espace polyvalent : lingerie – jeux – télévision et médias, activités diverses, 1 atelier-bureau, 1 WC, 1 réduit-cave, 1 chaufferie avec citerne à mazout. Nombreuses armoires dans toute la maison.Il s'agit d'une première location après des travaux de restauration / rénovation. Conception moderne et saine : pas d'utilisation de matériaux toxiques, communication en réseau câblé avec des prises RJ45 ne nécessitant ni WiFi ni Bluetooth.Objet exceptionnel par son concept et sa modernité, toujours actuels. Un véritable bijou architectural, ouvert et convivial, à vivre en famille! Qui rêve de valoriser un tel objet et d'y vivre est à la bonne adresse et sera privilégié !Einfamilienhaus in Evilard, 7.5 Zimmer (davon 3 Schlafzimmer und ein separater Arbeitsraum). Netto-Grundfläche: 175m2, auf 2 Ebenen. Ruhige Lage in einem Wohnquartier. Platz für Fahrzeuge, ohne Garage. Privater Garten mit 440m2.Monatliche Miete: 2'580.- Fr. + Nebenkosten (2'400.- Fr., sofern einfache Gartenarbeiten durch Mieter*innen übernommen werden). Ab sofort.L-förmiges Flachdachhaus aus den Fünfzigern: ein Vintage Bijou mit vielen Originalobjekten von einem Bieler ArchitektenFreistehendes Haus mit 7,5 Zimmern am Chemin de la Fontaine 4 in Evilard. Aufbau auf zwei Ebenen, Nettofläche von 174m2 (Erdgeschoss: 119m2 / Untergeschoss: 55m2) + Balkon (1,3m2) und Tankraum (8,3m2). Platz für Fahrzeug, ohne Garage. Privater und wilder Garten von 442m2.Ruhige Lage abseits vom Verkehr und 200 m vom Wald entfernt. Auf den Höhen von Biel, nach Süden ausgerichtet, ist die Sonneneinstrahlung optimal. Von der Nachbarschaft aus ist der Blick auf das Plateau und die Alpen aussergewöhnlich. Das Haus liegt am Ortsrand von Evilard (ca. 3'000 Einwohner) und ist 800 m vom Dorfzentrum, der Seilbahn nach Biel und der Grundschule (deutsch- und französischsprachig) entfernt. Evilard hat eines der vorteilhaftesten Steuersysteme in der Region.Dieses Architektenhaus mit seinen klaren Linien ist ein zukunftsweisendes Projekt, das sich ein sehr modernes Erscheinungsbild bewahrt hat. Es ist ein gut erhaltenes Beispiel für den Stil der 50er Jahre (Sichtmauerwerk, Einbauschränke, ein prächtiger Terrazzoboden, grosse Glasflächen, Glasbausteine usw.). Sorgfältiges Design und optimale Raumausnutzung. Das erste Haus mit Flachdach in Evilard. L-förmiger Grundriss, mit Glasfassaden im Osten, Süden und Westen.Erdgeschoss: 1 einheitlicher Eingangsbereich - Esszimmer - Wohnzimmer (Terrazzo mit Fussbodenheizung), mit grossen Fenstern und Oberlicht, offene Küche mit Zugang nach draussen, 1 Kinderzimmer, 1 Gastzimmer (oder Büro) und 1 Hauptschlafzimmer mit grossen Fenstern, 1 Bad/WC und 1 kleiner Balkon. Arbeitsraum mit Zugang von aussen.Untere Etage: 1 Mehrzweckraum: Waschküche - Spiele - Fernsehen und Medien, verschiedene Aktivitäten, 1 Werkstatt-Büro, 1 WC, 1 Abstellraum-Keller, 1 Heizungsraum mit Öltank. Zahlreiche Schränke im ganzen Haus.Dies ist eine erste Vermietung nach der Restaurierung / Renovierung. Modernes und gesundes Design: keine Verwendung von giftigen Materialien, kabelgebundene Kommunikation mit RJ45-Steckern, kein WiFi oder Bluetooth erforderlich.Aussergewöhnliches Objekt durch sein Konzept und seine Modernität, immer aktuell. Ein echtes architektonisches Juwel, offen und freundlich, zum Bewohnen mit der Familie!",True,True,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/einfamilienhaus-mieten-evilard/7087558
3 Zimmer,65 m²,CHF 1550.—,CHF 1330.—,3123,Bantigerweg 5,Belp,1963,"-Abgeschlossene Küche mit grossem Kühlschrank,Glaskeramikherd,Geschirrspüler,Granitabdeckung und Tageslicht.-Helles Badezimmer-Sämtliche Zimmer sowie Korridor mit neuem Eichen Parkett ausgestattet-Praktische Einbauschränke im Korridor-Ruhiger und sonniger Balkon-Optional haben Sie die Möglichkeit eine Einzelgarage für Fr. 120.00 pro Monat oder einen Aussenparkplatz für je Fr. 50.00 pro Monat zu Mieten",True,True,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-belp/7087773
"4,5 Zimmer",118 m²,CHF 1910.—,CHF 1560.—,4538,Weihergasse 29,Oberbipp,2018,"Per sofort oder nach Vereinbarung vermieten wir diese schöne und moderne Wohnung im 1. Stock.Die Wohnung verfügt über:Eingangsbereich mit Einbauschrank, Garderobe und HutablageHochwertige, offene Küche mit exklusiver Kücheninsel – Alles da was Kochherzen höher schlagen lässt: Pflegeleichte, hochwertige Granitabdeckung, Geschirrspülmaschine, Backofen auf idealer Höhe, grosser Kühlschrank mit separatem Kühlfach, Glaskeramikherd und Dampfabzug und viel Platz für Küchenutensilien.Grosszügiges Wohn- und Esszimmer (ca. 40 m2) mit vielen Möglichkeiten zur individuellen GestaltungBadezimmer mit Tageslicht, Badewanne zum Wohlfühlen, Spiegelschrank, Lavabo sowie ToiletteBadezimmer mit Waschturm (Waschmaschine und Trockner), schwellenloser Dusche, Lavabo, Spiegelschrank und ToiletteGedeckter Balkon, ca. 25 m2 mit Sonnenstore und praktischen Geräte-SchränkenHochwertiger Parkettboden im Wohn- und Schlafbereich. Plattenboden in der Küche und im BadezimmerWärmeverteilung mittels BodenheizungLift vorhandenFahrradraum zur MitbenutzungHaustiere grundsätzlich erlaubt (auf Anfrage)Einstellhallenplätze für CHF 120.00 pro Monat können dazu gemietet werdenLage & UmgebungWohnlage in ruhigem EinfamilienhausquartierIdeale Verkehrslage, sowohl für den Öffentlichen- wie auch für den IndividualverkehrBahnhof von Oberbipp in wenigen Gehminuten erreichbarDer tägliche Einkauf kann im Dorf getätigt werdenDer Kindergarten und die Primarschule kann im Dorf besucht werden. Die Oberstufen befinden sich in der Nachbargemeinde Wiedlisbach.Das Naherholungsgebiet lädt zu zahlreichen Sport- und Freizeitaktivitäten einHaben wir Ihr Interesse geweckt?Dann melden Sie sich bei uns mittels Kontaktformular, damit wir Sie für einen Besichtigungstermin kontaktieren können.Wir freuen uns auf Ihre Kontaktaufnahme.Ihre Ambassador Immobilien und Verwaltungs AG",True,True,True,False,True,True,False,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-oberbipp/6474390
2 Zimmer,No information,CHF 1150.—,CHF 1030.—,2502,Zentralstrasse 32a,Biel/Bienne,2013,Im Stadtzentrum vermieten wir eine 2-Zimmerwohnung im 3. OG mit Lift.BalkonParkettböden im Schlafz- und WohnzimmerWandschränke,True,False,True,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7087560
"3,5 Zimmer",100 m²,CHF 2000.—,CHF 1750.—,3034,Steinisweg 14,Murzelen,2014,"Die Wohnung liegt im kleinen Weiler Steinisweg, unweit des Wohlensees (keine Seesicht).Das Badezimmer verfügt über eine Badewanne. Die Toilette ist separat.Der Wohnung vorgelagert sind eine grosszügige, teilweise gedeckte Terrasse und ein Stück ""Rasen"" 200 m2 zum selber nutzen. Hier hätte es auch Platz für einen Garten.Katzen, Kaninchen und ähnliches sind erlaubt.Ein gedeckter Parkplatz und ein Aussenparkplatz gehören dazu.Unser 3-Familienhaus verfügt über eine Holzschnitzelheizung.Wir freuen uns auf Ihren Anruf!",True,True,False,True,False,False,False,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-murzelen/5703931
"3,5 Zimmer",100 m²,CHF 1550.—,CHF 1400.—,3365,Unterdorfstrasse 47,Grasswil,2020,"Im Dorfkern von Grasswil, direkt neben der Bushaltestelle Post mit Anschluss nach Herzogenbuchsee 14 Min. und Wynigen 15 Min. im Stunden- teilweise Halbstundentakt, oder 260 m östlich des Schulhauses und Kindergartens, liegt das neue 6-Familienhaus an der Unterdorfstrasse 47. Die offene, grosszügige Wohnung bietet eine tolle Aussicht ins Grüne und einen breiten Gartensitzplatz, auf dem sich wunderbar die Seele baumeln lässt.Einkaufen kann man im 1 km entfernten Volg, oder in der 3,2 km entfernten Landi, alles andere im 6,5 km entfernten Herzogenbuchsee. Der Autobahnanschluss Kriegstetten ist in 7,9 km erreichbar.Das Holzelementhaus ist erdbebensicher, beim Brandschutz, dem Schallschutz und der Baubiologie auf dem neusten Stand. Beheizt und gekühlt wird es mit einer Erdsondenwärmepumpe.Wir freuen uns auf Ihren Anruf.",True,False,True,True,True,True,True,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-grasswil/6047161
"3,5 Zimmer",No information,CHF 1700.—,CHF 1350.—,3008,Könizstrasse 29,Bern,No information,"An schöner und zentraler Lage vermieten wir eine helle 3.5-Zimmerwohnung im 1. Obergeschoss. Die Liegenschaft befindet sich in einem gut erschlossenen Wohnquartier.Die Wohnung verfügt über ein attraktives Raumangebot:Korridor/Eingangsbereich mit WandschränkenWohnen/EssenKüche2 SchlafzimmerBadewanne/WCKellerraum / EstrichBalkonEinstellhallenplatz kann für CHF 110.00 dazu gemietet werdenDie öffentlichen Verkehrsmittel (Tramlinie 6 & 7, Buslinien 17 / M80) sowie auch Einkaufsmöglichkeiten sind in wenigen Gehminuten zu erreichen.Haben wir Ihr Interesse geweckt, dann zögern Sie nicht, uns zu kontaktieren?",True,False,True,False,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7086607
4 Zimmer,114 m²,CHF 1890.—,CHF 1650.—,3145,Gerbereiweg 24,Niederscherli,2022,"Die Eigentumswohnung ist in einem ruhigen Quartier, sonnig gelegen, mit Einstellhallenplatz im Haus. Die Wohnung verfügt über eine Terrasse mit eigenem Gartenanteil. Die Wohnung befindet sich in einem 6-Familienhaus. Im Bastelraum sind auch Waschmaschine und Tumbler. Keine Haustiere.",True,False,True,True,False,True,False,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-niederscherli/7085716
