rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,infos,url_immoscout,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher
3.0,78.0,1450,1250,3600,Waisenhausstrasse 1,Thun,1944,Geniessen Sie die Zentrumsnähe die lieblich angelegten Gärten und die vielen Grünflächen in diesem beliebten Quartier. Die Wohnung bietet Ihnen folgende Ausstattung:Wohnzimmer mit ParkettbodenSchlaf- und Kinderzimmer mit ParkettbodenKüche Badezimmer und Korridor mit PVC-BodenKüche mit GlaskeramikherdEinbauschränkeBalkonKellerÖffentliche Verkehrsmittel und Einkaufsmöglichkeiten befinden sich in unmittelbarer Nähe.Haben wir Ihr Interesse geweckt? Vereinbaren Sie noch heute einen unverbindlichen Besichtigungstermin.Wir freuen uns auf Ihre Kontaktaufnahme.Bei den Bildern handelt es sich um Musterbilder welche den Ausbaustandard der Wohnung zeigen,https://www.immoscout24.ch/de/d/wohnung-mieten-thun/7087126,True,False,False,False,False,False,False,False,False
3.5,97.0,1490,1250,3125,Hangweg 1,Toffen,2021,Grosse gemütliche Wohnung in ehemaligen Bauernhaus in Toffen zu vermieten 35 Zimmer mit grosser Wohnküche mit anschliessendem Wohnzimmer und  2 geräumigen Zimmern mit geölten Holzboden. Eine grosse vor Regen geschützte Laube mit Blick auf die Alpen rundet das Wohnerlebnis ab. Waschen in der Wohnung Kein Geschirrspüler. Parkplatz kann für SFR 50.- dazugemietet werden.Das schöne Gürbetal lädt zum Biken Joggen und Wandern ein. Sie erreichen Bern mit dem Zug in 17 Minuten und Thun in 23 Minuten,https://www.immoscout24.ch/de/d/wohnung-mieten-toffen/7101930,True,False,False,True,False,False,False,True,False
2.5,70.0,1400,1200,3638,Riedbachstrasse 1,Blumenstein,2017,Die Wohnung ist grosszügiig und für einen Singel Haushalt bestens geeignet. Keine Haustiere.,https://www.immoscout24.ch/de/d/loft-mieten-blumenstein/7101319,True,False,False,False,False,False,False,False,True
4.5,109.0,2100,1780,3604,Bubenbergstrasse,Thun,2021,Wir vermieten per sofort oder nach Vereinbarung eine geräumige und renovierte 4.5-Zimmerwohnung à 109 m2 im 1.OG (mit Lift). Mietkosten netto CHF 1'780 plus CHF 320.- NK Bruttomiete pro Monat: CHF 2'100.-Die stadtnahe Wohnung bietet folgende Vorzüge:Sämtliche Zimmer sind mit Holzparkett (neu) und hellen Bodenplatten ausgestattetEs erwartet Sie eine neue moderne Küche (2021) mit allem KomfortEin grosszügiger Balkon (zT. mit Windschutz) und ReduitEin renoviertes Badezimmer und Gäste-WCEin Kellerabteil ein eigener Waschturm usw.Bei Bedarf kann ein Einstellhallenplatz für CHF 115.00 dazugemietet werdenDie Wohnung liegt in einem ruhigen und freundlichen QuartierBustationen befinden sich in unmittelbarer NähePrimar- und Sekundarschule sowie Kindergarten sind in 5-10 Gehminuten erreichbarEntspricht die Wohnung Ihrer Vorstellung? Dann freuen wir uns sehr über Ihre Kontaktaufnahme.,https://www.immoscout24.ch/de/d/wohnung-mieten-thun/6703011,True,False,True,True,False,False,False,True,True
3.5,88.0,1800,1650,4704,Rosenweg 1,Niederbipp,2022,Wohnung im 1. OG in diesem komplett sanierten Plusenergie-Haus zu vermieten. Natürliche Materialien (Holz Lehm Zellulose). Die Wohnungen werden über die Photovoltaikanlage mit Strom versorgt. Beide Wohnungen haben einen Gartenanteil. Waschmaschine Tumbler in den Wohnungen. Kelleranteil. Komfortlüftung und Wärmepumpe mit Bodenheizung. Erstvermietung! In den Nebenkosten ist auch der Haushaltstrom enthalten. Zudem sind die Nebenkosten in einem Plusenergiehaus unabhängiger als in einem üblichen Neubau,https://www.immoscout24.ch/de/d/wohnung-mieten-niederbipp/7043239,True,False,False,True,True,False,True,True,True
3.5,90.0,1600,1400,3800,Breitengässli 7,Unterseen,0,Gemütliche ruhige zentral gelegene für Einzelperson oder junges Paar geeignete Wohnung.Schöne offene KücheBodenbeläge Laminat und KeramikplattenEinbauschränke in den SchlafzimmernHelle RäumeEigene grosse TerrasseGartensitzplatz zur MitbenützungLage:Zentral und ruhigEinkaufsmöglichkeit in GehdistanzNaher öffentlicher VerkehrGut zu wissen:Eigener AbstellplatzHaustiere sind nicht erlaubtGemeinsame Waschküche,https://www.immoscout24.ch/de/d/wohnung-mieten-unterseen/7065585,False,True,False,False,False,False,False,False,False
4.0,98.0,1435,1145,3309,Hauptstrasse 10,Kernenried,2019,Ländlech wohne:Kernenried ist ein kleines beschauliches Bauerndorf in welchem sich die Einwohner noch kennen und grüssen. Ein idealer Ort um sich vom Berufsalltag in aller Ruhe zu entspannen. Kinder wachsen hier behütet und in einem sicheren Umfeld auf. Dank dem Autobahnanschluss Kirchberg ist man schnell überall. Aber auch mit dem ÖV ist Bern keine halbe Stunde entfernt.Folgendes bietet Ihnen die Wohnung:Homeoffice: ein Zimmer ist separat via Treppenhaus zugänglich und eignet sich somit perfekt als Büro.Grosszügig: die Küche bietet viel Stauraum und eine tolle Aussicht in die schöne Landschaft.Gäbig: Badezimmer mit Badewanne und separates Gäste-WC.Viu Stouruum: Dank diversen Einbauschränken findet alles seinen Platz.Ussicht: auf dem Balkon können Sie die Aussicht ins Grüne geniessen.D'Chöste im Blick:Dank der Nebenkostenpauschale werden Sie nicht von horrenden Nachzahlungen überrascht. Der Strom wird zudem von der hauseigenen Solaranlage bezogen.Für's Outo:Es kann eine Garage für CHF 100.- ein Carport für CHF 70.- und/oder Aussen-Parkplätze für CHF 30.- gemietet werden.Dr Gwunger gweckt?Verschaffen Sie sich dank der virtuellen Tour einen ersten Eindruck bequem vom Sofa aus. Gerne zeigen wir Ihnen das Objekt anschliessend auch persönlich.,https://www.immoscout24.ch/de/d/wohnung-mieten-kernenried/7086908,True,False,False,True,False,False,False,False,True
3.0,75.0,1490,1250,3073,Worbstrasse 220,Gümligen,2022,3-Zimmer-Wohnung zu vermieten ab sofort oder nach Vereinbarung in Gümligen an zentraler Lage an der Worbstrasse 220 im 1. Stock mit Balkon.,https://www.immoscout24.ch/de/d/wohnung-mieten-guemligen/7100958,True,False,False,False,False,False,False,False,True
2.5,74.0,1670,1490,3205,Hapfernweg 1a,Gümmenen,2015,"hapfern-punkt-chDer im 2015 entstandene Neubau im Minergie- und Eigentumsstandard in Gümmenen befindet sich in der attraktiven und steuergünstigen Wohngemeinde Mühleberg. Zu mieten ist eine moderne und äusserst helle 2 1/2 Zimmer Wohnung mit einem grosszügigen Balkon von 17 m2. Der Balkon mit Ausrichtung nach Südwesten ist quasi dauerhaft besonnt und mit einem hochwertigen Schweizer****Granit ausgestattet! Die Wohnung verfügt über einen gemauerten abschliessbaren Keller von 10 m2!Einstellhallenplätze können dazugemietet werden.Die Stadt Bern befindet sich in angenehmer Distanz mit nur  15 Minuten Autofahrt. Die Bahnhöfe Gümmenen und Rosshäusern (beides Park & Ride) bieten sehr gute Verbindungen nach Bern oder Neuenburg. Zu Fusserreichen Sie in 10 Minuten das Zentrum des Dorfes Mühleberg mit einem Restaurant einer Bank einem Volg Einkaufsladen mit Poststelle  Ärzten sowie einem Blumenladen Coiffeur und anderen Dienstleistungsbetrieben. Zahnärzte und Spitex sind im Amtsbezirk Laupen erreichbar.Auf halbem Weg nach Bern erreichen Sie weitere attraktive Einkaufsmöglichkeiten im Westside Bern Brünnen oder auch im benachtbarten Laupen.Mit Liebe zum Detail Funktionalität und modernem Design ist das Gebäude und die Wohnung im Eigentumsstandard wie folgt ausgestattet:Wärmepumpenheizung im UG Luft/Wasser mit automatischer Aussentemperatur-Steuerung. -> günstige Nebenkosten. Wärmeabgabe über Fussbodenheizung.Separate Stromverbrauchsmessung. Allgemeinräume Aussenbeleuchtung Treppenhaus und Einstellhalle etc. auf allgemeine Messung.Jede Wohnung mit Waschmaschine Tumbler Reduit oder Vorrats-Putzschrankund Garderobe.Siemens Waschvollautomat varioPerfect Energieeffizienzklasse A+++ 7kg Fassung Vollelektronische Einknopfbedienung für alle Wasch- und Spezialprogramme. Siemens Luftkondensationswäschetrockner 40% sparsamer als der Grenzwert zur Energieklasse A Fassung 1-7 kg.Moderne helle Küchen individuell vom Schreiner gefertigt mit grosszügiger Kochinsel und integrierter Frühstücksecke/Bar. Dunkle Granitabdeckung (Pretoria geflammt) Geschirrspüler freistehender Dampfabzug Glaskeramikkochfeld flächenbündig eingebaut  Backofen und Steamer Kühl-/Gefrierkombination Abwaschbecken von unten her eingebaut. Alle Geräte: Siemens. Backofen & Steamer in Edelstahl. Weitere Details zu den Küchenmöbel:Ein Oberbau mit Faltlifttüre inkl. LED Beleuchtung. Relinggriffe Edelstahlfinish. Schubladen: integriertes Auszugsystem geschützt nicht sichtbar vollausziehbar. Schwebelauf sanft leise und gedämpft. Kehrricht mit Abfalltrennsystem (35 Liter Abfallsack 55 Liter Behälter für Kompost) beide Behälter abgedeckt mit Aktivkohlegeruchsfilter. Flaschenauszug ausgerüstet mit rutschhemmenden Böden wie auch die Pfannenauszüge und Besteckeinsätze.Die 2 1/2 Zimmer Wohnung verfügt über Dusche & Badewanne. Die Dusche ist fugenlos aus AIDO ebenerdig begehbar. Die Nasszelle verfügt über ein vom Schreiner gefertigtes Designerwaschbecken mit Unterbau und ebenfalls einen passenden Designerspiegelschrank mit Leuchtmittel.  Klosettsitze mit Absenkautomatik.Böden Wohnzimmer Küche Gang Essbereich: Nadura (Holzfasern/Minerische Stoffe in Schiefer Anthrazit Optik) Nr. 1 im Ökotest.Boden Zimmer: Vinyl Holzstruktur ""Birke gealtert"".Wände mit kleinkörnigem weissem Abrieb und glatte weisse Decken mit grosszügig eingelegten Deckenlampen im Küchen- und Gangbereich.Elektrische Rafflamellenstorenundelektrische Markisenin allen Wohnungen.In allen Zimmern (ausser Nasszellen und Reduits) Multimediaverkabelung.Helle Zimmer mit vielen Fenstern bis auf den Boden.Alle Terrassen mit Bodenplatten aus Schweizer Serizzo Granit.Gemauerter Kellerraum (10m2) im Mietpreis inbegriffen.Rollstuhlgängiger Personenaufzug der aus der Einstellhalle alle Stockwerke erschliesst.Zugang zur Einstellhalle via elektrisches Tor; Einstellhallenplätze können dazugemietet werden.Die Umgebung und der Garten ist liebevoll und grosszügig gestaltet und wird auch durch einen Rasenroboter gepflegt.Mechatronische Schliessanlage mit einheitlichem Schlüssel für Wohnung Haustüre Einstellhalle Briefkasten und Keller.Briefkasten mit Gegensprechanlage.Gedeckter Velounterstand.Hunde und Katzen nicht erlaubt. Andere Haustiere auf Anfrage.Sehen Sie weitere Details Grundrisse Küchenansichten und Extras auf hapfern-punkt-ch oder kontaktieren Sie uns unverbindlich unter Tel. 079 244 16 32.",https://www.immoscout24.ch/de/d/wohnung-mieten-guemmenen/7027758,True,True,True,True,True,True,True,True,True
3.5,87.5,1240,1050,4950,Ibachstrasse 26,Huttwil,1983,Wir vermieten eine schöne 3.5-Zimmerwohnung an ruhiger Wohnlage in Huttwil.Die geräumige und zweckmässig eingerichtete Küche verfügt über ein Glaskeramikkochfeld einen Backofen Geschirrspüler und einen grossen Kühlschrank.Das Badezimmer der Wohnung ist mit einer Badewanne Waschtisch und WC ausgestattet.Die hellen Schlafzimmer sowie das offene Wohn- und Esszimmer sind aufgrund der grossen Fenster lichtdurchflutet und bieten viel Platz sowie ein gemütliches Klima zum Verweilen an. Die Räume sind mit einer Bodenheizung ausgestattet.Der grosse überdachte Balkon verfügt über einen Stromanschluss und bietet Ausblick in die Gartenanlage des Mehrfamilienhauses welche über einen eigenen Spielplatz verfügt.Ein Aussenparkplatz ist im Mietzins der Wohnung inbegriffen. Für CHF 95.00 kann zusätzlich eine Garage zur Wohnung dazu gemietet werden.Haben wir Ihr Interesse geweckt? Gerne würden wir Ihnen diese schöne Wohnung persönlich zeigen.,https://www.immoscout24.ch/de/d/wohnung-mieten-huttwil/6948673,True,True,False,True,False,False,False,False,True
4.0,73.0,1350,1100,4950,Ibachstrasse 24,Huttwil,2022,Wir vermieten eine renorvierte und grosszügige 4-Zimmerwohnung in einem familienfreundlichen und ruhigem Quartier in Huttwil. Diese Wohnung bietet Ihnen viele Vorteile:neue helle und offene Kücheneues Badezimmer mit Dusche WC und Fensterhelles grosszügiges WohnzimmerEntrée mit Garderobe und einem Einbauschrank mit viel Stauraumalle Räume sind mit einem wunderschönen hygienischen Vinyllboden mit Holzoptik ausgestattetBalkongrosser gepflegter Umschwung GartenanlageEin Spielplatz für Kinder befindet sich gleich beim NachbargebäudeAussenparkplätze können für CHF 30.00 monatlich dazu gemietet werden.,https://www.immoscout24.ch/de/d/wohnung-mieten-huttwil/7062898,True,True,False,True,False,False,False,False,True
3.5,88.0,1349,1209,3706,Dorfstrasse 29,Leissigen,1996,Nur an Nichtraucher!TV Satelit,https://www.immoscout24.ch/de/d/wohnung-mieten-leissigen/3640918,True,False,False,False,False,False,False,True,False
4.5,112.5,1590,1350,2563,Buchenweg 15,Ipsach,0,Herzlich willkommen am Buchenweg!Es erwartet Sie eine frisch renovierte äusserst grosszügige 4.5- Zimmerwohnung mit folgenden Vorzügen:Neue Küche mit modernsten Küchengeräten wie Geschirrspüler Glaskeramik grosszügiger Kühlschrank und vieles mehrNeues Badezimmer mit Badewanne und WCZusätzliches Gäste-WCCheminée für gemütliche StundenEinbauschränke mit viel StauraumEdle Parkettböden im WohnzimmerNeue Böden in den SchlafzimmernPrivatsphäre da die Nachbarshäuser nicht direkt an der Parzellengrenze stehenLiegenschaft in BielerseenäheEinstellhallenplätze können bei Bedarf dazu gemietet werden.Kein Lift in dieser Liegenschaft.Zögern Sie nicht und kontaktieren Sie uns noch heute über das Kontaktformular. Wir freuen uns auf Sie!,https://www.immoscout24.ch/de/d/wohnung-mieten-ipsach/7029340,True,True,False,True,False,False,False,False,False
4.5,100.0,1750,1600,3627,Dornhaldestrasse 7,Heimberg,2012,Neuere helle freundliche schöne Wohnung in 3-Familienhausmit Plattenböden; Zimmer Linoleummit Steamer Steinabdeckung GK DA und Geschirrspüler etc.mit Bad-WCmit kleinem Balkonmit eigenem altem KellerabteilHauswirtschaftsraum und Terrrasse wird von zwei anderen Parteien mitbenutztVeloraumAutoabstellplätze zu je 50.- / Monat mietbar,https://www.immoscout24.ch/de/d/wohnung-mieten-heimberg/3539287,True,False,False,True,True,False,False,False,True
2.5,58.0,1070,980,2732,Rue du 16 Mars 10,Reconvilier,2022,+ D'INFOS SUR IMJU.CHLa Résidence Côté Cour est située à Reconvilier proche des commodités et de la nature.Les appartements 2.5p dispose d’une cuisine ouverte et d'un séjour spacieux tous les équipements sont de grand standing.Douche italienneMachine à laver et séche-linge dans chaque appartementPlace de parking extérieure : 50.-/moisPlace de parking extérieure couverte : 80.-/moisPlace de parking intérieure : 100.- /moisAscenseurCaves+ D'INFOS SUR IMJU.CHAutres appartements dans cet immeuble sur IMJU.CH,https://www.immoscout24.ch/de/d/wohnung-mieten-reconvilier/6780372,True,False,True,True,False,True,True,True,True
